timestamp,auto_state,duration_s,sample_count,avg_bus_voltage_v,avg_left_current_a,avg_right_current_a,avg_total_current_a,avg_left_power_w,avg_right_power_w,avg_total_power_w,energy_wh
2026-04-27T15:36:20,bench_tracking_f,4.246,4,25.58,0.5,-0.975,1.975,25.575,24.932,50.508,0.059577
2026-04-27T15:36:22,yaw_correction,1.805,2,25.47,-2.3,-2.55,4.85,58.605,64.841,123.446,0.061897
2026-04-27T15:36:28,align_center,5.752,6,25.508,-1.067,-2.517,3.583,27.206,64.192,91.398,0.146034
2026-04-27T15:36:34,aruco_centering,6.502,6,25.543,-2.35,-0.817,3.167,60.022,20.862,80.884,0.146086
2026-04-27T15:36:45,scan_start,11.052,11,25.593,-0.491,0.0,0.491,12.564,0.0,12.564,0.038569
2026-04-27T15:36:50,bench_tracking_f,4.285,4,25.445,1.4,-2.475,3.925,36.705,62.902,99.608,0.118555
2026-04-27T15:36:50,yaw_correction,0.508,1,25.51,0.1,-2.2,2.3,2.551,56.122,58.673,0.008286
2026-04-27T15:36:58,align_center,7.3,7,25.54,-1.0,-1.8,2.8,25.536,45.957,71.493,0.144971
2026-04-27T15:37:04,aruco_centering,6.151,6,25.585,-1.333,-0.467,1.867,34.113,13.646,47.759,0.081598
2026-04-27T15:37:12,scan_start,8.654,9,25.597,-0.478,0.089,0.567,12.229,2.275,14.504,0.034867
2026-04-27T15:37:17,bench_tracking_f,4.524,5,25.466,0.6,-2.56,3.16,15.263,65.196,80.459,0.101114
2026-04-27T15:37:19,yaw_correction,1.916,1,25.61,0.7,-0.3,1.0,17.927,7.683,25.61,0.013629
2026-04-27T15:37:25,align_center,6.55,7,25.549,-0.114,-0.571,1.286,14.608,18.261,32.869,0.059806
2026-04-27T15:37:40,aruco_centering,14.553,15,25.593,-1.18,-0.387,1.66,30.198,12.284,42.483,0.171741
2026-04-27T15:37:47,scan_start,7.455,7,25.594,-0.643,0.1,0.743,16.453,2.559,19.013,0.039373
2026-04-27T15:37:52,bench_tracking_f,4.287,4,25.485,0.825,-2.25,3.075,21.026,57.331,78.357,0.093319
2026-04-27T15:37:52,yaw_correction,0.509,1,25.44,0.0,-3.0,3.0,0.0,76.32,76.32,0.010781
2026-04-27T15:37:58,align_center,6.246,6,25.517,-0.767,-2.383,3.15,19.574,60.805,80.379,0.139448
2026-04-27T15:38:06,aruco_centering,7.907,8,25.548,-2.013,-1.025,3.038,51.416,26.186,77.601,0.170451
2026-04-27T15:38:15,scan_start,8.292,8,25.596,-0.5,0.0,0.5,12.798,0.0,12.798,0.029478
2026-05-01T15:44:23,manual,33.512,33,25.517,0.185,0.0,0.185,4.717,0.0,4.717,0.043907
2026-05-01T15:44:25,bench_tracking_b,2.0,2,25.435,-1.7,0.7,2.4,43.19,17.788,60.978,0.033868
2026-05-01T15:44:51,align_center,26.25,26,25.517,-0.192,0.192,0.423,5.882,4.901,10.783,0.078628
2026-05-01T15:45:12,bench_tracking_b,20.801,21,25.494,-0.748,0.448,1.614,26.075,15.04,41.115,0.237559
2026-05-01T16:08:57,yaw_correction,1424.737,1425,25.534,0.001,-0.0,0.001,0.014,0.007,0.021,0.008508
2026-05-01T16:12:59,idle,207.855,207,25.501,0.084,-0.034,0.368,7.291,2.081,9.373,0.541151
2026-05-01T16:13:45,manual,38.255,38,25.467,0.429,-1.003,1.605,15.304,25.509,40.813,0.433689
